An enrichment analysis was performed for the main three branches of the Gene Ontology (Biological Processes, Molecular Functions, and Cellular Components) of the genes belonging to the main upregulated core 1, using a Benjamini-Hochberg threshold=0.05 (correcting for multiple comparisons).;;;
Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes;;;
KEGG_2021_Human,Fatty acid degradation,3/43,9.228228599930086e-08,9.228228599930086e-07,0,0,748.3125,12121.475400639456,ACADVL;ACADL;ACSL6;
KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,2/30,2.168904440952184e-05,9.320087850943436e-05,0,0,475.4047619047619,5105.230681141124,PCCA;PCCB;;
KEGG_2021_Human,Propanoate metabolism,2/34,2.796026355283031e-05,9.320087850943436e-05,0,0,415.8958333333333,4360.553946283013,PCCA;PCCB;;
"KEGG_2021_Human,""Valine, leucine and isoleucine degradation"",2/48,5.61412034866284e-05,0.000140353008716571,0,0,289.1159420289855,2829.76291786035,PCCA";PCCB;;
KEGG_2021_Human,PPAR signaling pathway,2/74,0.0001340817157708724,0.0002681634315417448,0,0,184.47222222222223,1644.950081363305,ACADL;ACSL6;;
KEGG_2021_Human,Fatty acid biosynthesis,1/18,0.0044922927083929,0.0074871545139882,0,0,293.79411764705884,1588.072397289777,ACSL6;;;
KEGG_2021_Human,Ferroptosis,1/41,0.0102089737568119,0.014584248224017,0,0,124.71875,571.7716333774792,ACSL6;;;
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.0171329472693099,0.0214161840866374,0,0,73.26102941176471,297.9344326341269,ACSL6;;;
KEGG_2021_Human,Peroxisome,1/82,0.020334452124159,0.02259383569351,0,0,61.46296296296296,239.42520346643704,ACSL6;;;
GO_Biological_Process_2021,fatty acid catabolic process (GO:0009062),4/70,6.8591551358524e-10,2.880845157058008e-08,0,0,1207.8181818181818,25485.285705703227,ACADVL;ACADL;PCCA;PCCB
GO_Biological_Process_2021,short-chain fatty acid catabolic process (GO:0019626),2/8,1.3991087462114675e-06,1.285470813205684e-05,0,0,2221.0,29938.358472423224,PCCA;PCCB;;
GO_Biological_Process_2021,negative regulation of fatty acid oxidation (GO:0046322),2/8,1.3991087462114675e-06,1.285470813205684e-05,0,0,2221.0,29938.358472423224,ACADVL;ACADL;;
GO_Biological_Process_2021,short-chain fatty acid metabolic process (GO:0046459),2/9,1.7986799164027146e-06,1.285470813205684e-05,0,0,1903.619047619048,25181.943747367222,PCCA;PCCB;;
GO_Biological_Process_2021,biotin metabolic process (GO:0006768),2/9,1.7986799164027146e-06,1.285470813205684e-05,0,0,1903.619047619048,25181.943747367222,PCCA;PCCB;;
GO_Biological_Process_2021,cellular amide metabolic process (GO:0043603),3/115,1.83638687600812e-06,1.285470813205684e-05,0,0,266.29017857142856,3517.0836065202298,PCCA;PCCB;ACSL6;
GO_Biological_Process_2021,fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),2/10,2.248131259405612e-06,1.348878755643367e-05,0,0,1665.5833333333333,21661.596201528788,ACADVL;ACADL;;
GO_Biological_Process_2021,negative regulation of fatty acid biosynthetic process (GO:0045717),2/12,3.2966149429844506e-06,1.7307228450668365e-05,0,0,1332.3333333333333,16817.52990669201,ACADVL;ACADL;;
GO_Biological_Process_2021,regulation of fatty acid oxidation (GO:0046320),2/16,5.991489203256272e-06,2.7960282948529268e-05,0,0,951.4761904761904,11441.663476001768,ACADVL;ACADL;;
GO_Biological_Process_2021,negative regulation of fatty acid metabolic process (GO:0045922),2/17,6.789684747717526e-06,2.851667594041361e-05,0,0,888.0,10567.294169184646,ACADVL;ACADL;;
GO_Biological_Process_2021,regulation of cholesterol metabolic process (GO:0090181),2/21,1.047992739884236e-05,4.001426825012538e-05,0,0,700.9122807017544,8036.694419732441,ACADVL;ACADL;;
GO_Biological_Process_2021,negative regulation of lipid biosynthetic process (GO:0051055),2/22,1.1526778589426107e-05,4.034372506299137e-05,0,0,665.8333333333334,7571.082739637043,ACADVL;ACADL;;
GO_Biological_Process_2021,regulation of steroid metabolic process (GO:0019218),2/23,1.2623316154643204e-05,4.078302142269343e-05,0,0,634.0952380952381,7152.572070560204,ACADVL;ACADL;;
GO_Biological_Process_2021,regulation of small molecule metabolic process (GO:0062012),2/28,1.885077741992872e-05,5.655233225978615e-05,0,0,512.025641025641,5570.304625671955,ACADVL;ACADL;;
GO_Biological_Process_2021,regulation of fatty acid biosynthetic process (GO:0042304),2/29,2.0245119936613772e-05,5.668633582251857e-05,0,0,493.037037037037,5328.545495992294,ACADVL;ACADL;;
GO_Biological_Process_2021,negative regulation of cellular biosynthetic process (GO:0031327),2/52,6.596944588909246e-05,0.00016298333690246373,0,0,265.93333333333334,2559.9590632869204,ACADVL;ACADL;;
GO_Biological_Process_2021,fatty acid beta-oxidation (GO:0006635),2/52,6.596944588909246e-05,0.00016298333690246373,0,0,265.93333333333334,2559.9590632869204,ACADVL;ACADL;;
GO_Biological_Process_2021,fatty acid oxidation (GO:0019395),2/59,8.506401139074483e-05,0.00019848269324507128,0,0,233.1929824561404,2185.509468895314,ACADVL;ACADL;;
GO_Biological_Process_2021,water-soluble vitamin metabolic process (GO:0006767),2/76,0.0001414500157223739,0.0003126789821231423,0,0,179.46846846846847,1590.7302830047636,PCCA;PCCB;;
GO_Biological_Process_2021,long-chain fatty acid metabolic process (GO:0001676),2/83,0.0001687780974099025,0.0003544340045607953,0,0,163.90123456790124,1423.7978532057084,ACADL;ACSL6;;
GO_Biological_Process_2021,monocarboxylic acid metabolic process (GO:0032787),2/143,0.0005005399846166023,0.0010010799692332,0,0,93.87234042553192,713.4131786877364,PCCA;PCCB;;
GO_Biological_Process_2021,long-chain fatty acid catabolic process (GO:0042758),1/5,0.0012494733811348,0.0023853582730757,0,0,1249.4375,8352.531058286915,ACADL;;;
