An enrichment analysis was performed for the main three branches of the Gene Ontology (Biological Processes, Molecular Functions, and Cellular Components) of the genes belonging to the main downregulated core (in human), using a Benjamini-Hochberg threshold=0.05 (correcting for multiple comparisons).;;;;;;;;;;;;;
Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes;;;;;;;;;;;;;
KEGG_2021_Human,DNA replication,5/36,3.6429559681521936e-10,9.471685517195705e-09,0,0,189.2504743833017,4112.991062925137,PRIM2;FEN1;LIG1;MCM7;POLD1;;;;;;;;;
KEGG_2021_Human,Mismatch repair,3/23,2.016687016348945e-06,2.621693121253628e-05,0,0,157.56315789473683,2066.291837285185,MSH6;LIG1;POLD1;;;;;;;;;;;
KEGG_2021_Human,Base excision repair,3/33,6.168857387983563e-06,5.346343069585754e-05,0,0,104.98947368421052,1259.453403528776,FEN1;LIG1;POLD1;;;;;;;;;;;
KEGG_2021_Human,Pyrimidine metabolism,3/56,3.0832776538449746e-05,0.00020041304749992333,0,0,59.35948361469712,616.5629353234951,DUT;RRM1;RRM2;;;;;;;;;;;
KEGG_2021_Human,Drug metabolism,3/108,0.000218826806881905,0.0011378993957859,0,0,29.88421052631579,251.84111479170676,DUT;RRM1;RRM2;;;;;;;;;;;
KEGG_2021_Human,Nucleotide excision repair,2/47,0.0012117096246851,0.0052507417069691,0,0,44.29555555555555,297.4766814031406,LIG1;POLD1;;;;;;;;;;;;
KEGG_2021_Human,Glutathione metabolism,2/57,0.0017771204626455,0.006600733146969,0,0,36.223636363636366,229.39562954849325,RRM1;RRM2;;;;;;;;;;;;
KEGG_2021_Human,p53 signaling pathway,2/73,0.0028952732366765,0.0094096380191987,0,0,28.038028169014083,163.87318444267802,RRM2;CDK1;;;;;;;;;;;;
KEGG_2021_Human,Cell cycle,2/124,0.0081218971051258,0.0227857896964333,0,0,16.275409836065574,78.33666458241862,MCM7;CDK1;;;;;;;;;;;;
KEGG_2021_Human,Purine metabolism,2/129,0.0087637652678589,0.0227857896964333,0,0,15.630708661417325,74.04469331427653,RRM1;RRM2;;;;;;;;;;;;
KEGG_2021_Human,Non-homologous end-joining,1/13,0.0142101091631312,0.0335875307492192,0,0,79.23015873015873,337.0293803138913,FEN1;;;;;;;;;;;;;
KEGG_2021_Human,RNA transport,2/186,0.0175868771046071,0.0381049003933154,0,0,10.757608695652172,43.46721815960094,NDC1;GEMIN7;;;;;;;;;;;;
GO_Biological_Process_2021,DNA metabolic process (GO:0006259),8/277,3.3077726597037125e-10,7.310177577945206e-08,0,0,41.86723313860861,913.9439426654357,MSH6;PRIM2;FEN1;LIG1;MCM7;POLD1;CDK1;KPNA2;;;;;;
GO_Biological_Process_2021,mitotic chromosome condensation (GO:0007076),4/27,1.894307321390835e-08,2.093209590136873e-06,0,0,192.80193236714976,3428.3707033758656,CDK1;NCAPG;SMC4;SMC2;;;;;;;;;;
GO_Biological_Process_2021,DNA replication (GO:0006260),5/108,1.0235873659516524e-07,7.540426929177173e-06,0,0,56.75328383780697,913.431740716,FEN1;DUT;MCM7;POLD1;CDK1;;;;;;;;;
GO_Biological_Process_2021,chromosome condensation (GO:0030261),4/45,1.5875447622115556e-07,8.771184811218845e-06,0,0,108.05962059620596,1691.7713708231208,CDK1;NCAPG;SMC4;SMC2;;;;;;;;;;
GO_Biological_Process_2021,DNA repair (GO:0006281),6/298,6.350866164458305e-07,2.8070828446905712e-05,0,0,25.28167808219178,360.75701773307776,MSH6;FEN1;LIG1;POLD1;CDK1;KPNA2;;;;;;;;
GO_Biological_Process_2021,cellular response to DNA damage stimulus (GO:0006974),6/350,1.6202971940670488e-06,5.96809466481363e-05,0,0,21.40334302325581,285.36865300775577,MSH6;FEN1;LIG1;MCM7;POLD1;CDK1;;;;;;;;
GO_Biological_Process_2021,nucleobase-containing small molecule interconversion (GO:0015949),3/27,3.3213166651514407e-06,0.00010485871185692408,0,0,131.27631578947367,1656.0703190066345,DUT;RRM1;RRM2;;;;;;;;;;;
GO_Biological_Process_2021,mismatch repair (GO:0006298),3/29,4.143191672683946e-06,0.00010671392895615604,0,0,121.165991902834,1501.7366509066526,MSH6;LIG1;POLD1;;;;;;;;;;;
GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),4/102,4.345816111336671e-06,0.00010671392895615604,0,0,45.07936507936508,556.5632293539121,CDK1;NCAPG;SMC4;SMC2;;;;;;;;;;
"GO_Biological_Process_2021,""base-excision repair, gap-filling (GO:0006287)"",3/35,7.389615868894541e-06,0.00016331051070256938,0,0,98.41776315789474,1162.848664167996,FEN1";LIG1;POLD1;;;;;;;;;;;
GO_Biological_Process_2021,deoxyribonucleotide metabolic process (GO:0009262),2/5,1.1526778589426107e-05,0.00023158346075119723,0,0,665.8333333333334,7571.082739637043,RRM1;RRM2;;;;;;;;;;;;
GO_Biological_Process_2021,base-excision repair (GO:0006284),3/48,1.934812361113975e-05,0.00033213844277362007,0,0,69.94035087719298,759.0566911269099,FEN1;LIG1;POLD1;;;;;;;;;;;
GO_Biological_Process_2021,cellular macromolecule biosynthetic process (GO:0034645),5/314,1.9537555457271768e-05,0.00033213844277362007,0,0,18.72168284789644,203.00242769320772,FEN1;DUT;MCM7;POLD1;CDK1;;;;;;;;;
GO_Biological_Process_2021,response to UV (GO:0009411),3/99,0.00016920113392375336,0.0024150097447016,0,0,32.70065789473684,283.9863262145943,MSH6;FEN1;POLD1;;;;;;;;;;;
GO_Biological_Process_2021,nucleotide biosynthetic process (GO:0009165),2/18,0.00017484233445803956,0.0024150097447016,0,0,124.7625,1079.398480851498,RRM1;RRM2;;;;;;;;;;;;
GO_Biological_Process_2021,DNA strand elongation involved in DNA replication (GO:0006271),2/18,0.00017484233445803956,0.0024150097447016,0,0,124.7625,1079.398480851498,LIG1;MCM7;;;;;;;;;;;;
"GO_Biological_Process_2021,""nucleotide-excision repair, DNA gap filling (GO:0006297)"",2/24,0.000314144742212557,0.0040838816487632,0,0,90.7090909090909,731.6283882755846,LIG1";POLD1;;;;;;;;;;;;
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),3/128,0.0003607340100973493,0.0042927513572485,0,0,25.077473684210528,198.79840466930037,KNTC1;SPC24;SPC25;;;;;;;;;;;
GO_Biological_Process_2021,DNA-dependent DNA replication (GO:0006261),3/129,0.00036906007143765646,0.0042927513572485,0,0,24.87719298245614,196.6430439491986,PRIM2;MCM7;POLD1;;;;;;;;;;;
GO_Biological_Process_2021,carbohydrate derivative biosynthetic process (GO:1901137),2/28,0.00042909766583667375,0.0047415292074952,0,0,76.73846153846154,595.0166787107836,RRM1;RRM2;;;;;;;;;;;;
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),3/157,0.0006549273076728404,0.0068923302378903,0,0,20.32535885167464,149.00492746998393,KNTC1;SPC24;SPC25;;;;;;;;;;;
GO_Biological_Process_2021,DNA replication initiation (GO:0006270),2/38,0.0007927368818969882,0.0079634023136015,0,0,55.394444444444446,395.5173964786915,PRIM2;MCM7;;;;;;;;;;;;
GO_Biological_Process_2021,regulation of exit from mitosis (GO:0007096),2/39,0.0008350316260813204,0.0080235647549552,0,0,53.894594594594594,382.007093916608,UBE2C;KNTC1;;;;;;;;;;;;
GO_Biological_Process_2021,regulation of DNA recombination (GO:0000018),2/42,0.0009683243476237372,0.0089166533677019,0,0,49.845,345.92148161176414,MSH6;KPNA2;;;;;;;;;;;;
GO_Biological_Process_2021,regulation of mitotic cell cycle phase transition (GO:1901990),3/188,0.001103488565421,0.009754838918322,0,0,16.89302987197724,115.02934839149952,UBE2C;CDK1;KNTC1;;;;;;;;;;;
GO_Biological_Process_2021,mitotic nuclear membrane organization (GO:0101024),2/51,0.0014253691779825,0.0116669106790421,0,0,40.67142857142857,266.5330663196843,NDC1;CDK1;;;;;;;;;;;;
GO_Biological_Process_2021,mitotic nuclear membrane reassembly (GO:0007084),2/51,0.0014253691779825,0.0116669106790421,0,0,40.67142857142857,266.5330663196843,NDC1;CDK1;;;;;;;;;;;;
GO_Biological_Process_2021,nuclear membrane reassembly (GO:0031468),2/54,0.0015965780811344,0.0126015627118113,0,0,38.31923076923077,246.7717321748194,NDC1;CDK1;;;;;;;;;;;;
GO_Biological_Process_2021,positive regulation of mitotic cell cycle phase transition (GO:1901992),2/58,0.0018393653781464,0.0140172327093227,0,0,35.575,224.06325588650645,UBE2C;CDK1;;;;;;;;;;;;
GO_Biological_Process_2021,response to light stimulus (GO:0009416),2/61,0.0020322626452387,0.0149710014865919,0,0,33.76101694915254,209.27122545032168,MSH6;POLD1;;;;;;;;;;;;
GO_Biological_Process_2021,nucleic acid metabolic process (GO:0090304),2/71,0.0027413714758928,0.0195433256829781,0,0,28.8536231884058,170.21609113224113,FEN1;KPNA2;;;;;;;;;;;;
GO_Biological_Process_2021,transcription-coupled nucleotide-excision repair (GO:0006283),2/73,0.0028952732366765,0.0198455567765491,0,0,28.038028169014083,163.87318444267802,LIG1;POLD1;;;;;;;;;;;;
