An enrichment analysis was performed for the main three branches of the Gene Ontology (Biological Processes, Molecular Functions, and Cellular Components) of the genes belonging to the expanded upregulated network for human, using a Benjamini-Hochberg threshold=0.05 (correcting for multiple comparisons).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Fatty acid degradation,22/43,6.579279068226772e-29,1.6974539996025075e-26,0,0,71.04663382594417,4610.290136615316,ACADVL;CPT1A;ACAA2;ECHS1;ACSL1;ECI1;ACSL6;ACSL4;ACSL3;HADHB;HADHA;ACADL;CPT2;ACOX1;EHHADH;ACSBG1;ACOX3;ACAA1;HADH;ACADS;ACSBG2;ALDH7A1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KEGG_2021_Human,""Valine, leucine and isoleucine degradation"",19/48,2.0665624146123173e-22,2.665865514849889e-20,0,0,43.95916205719666,2194.9242827557523,BCKDHA";ACAA2;ECHS1;AGXT2;BCKDHB;HADHB;IL4I1;HADHA;PCCA;EHHADH;DBT;PCCB;AOX1;ACAA1;HADH;BCAT1;ACADS;ALDH7A1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,One carbon pool by folate,13/20,1.7732284794268146e-19,1.5249764923070605e-17,0,0,122.24223602484471,5277.9692744997465,ALDH1L1;SHMT2;SHMT1;AMT;MTR;ALDH1L2;FTCD;DHFR;MTHFD1;MTHFD1L;MTHFD2;MTHFD2L;GART;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Influenza A,26/172,2.1587120898868628e-18,1.3743372129083538e-16,0,0,12.168119551681196,494.9628409632557,RNASEL;ADAR;PLG;ACTB;IFIH1;CASP3;CASP1;AKT1;CREBBP;RSAD2;PRKCB;DDX58;STAT1;MX2;STAT2;MX1;EIF2AK2;PRKCA;NFKB1;PML;IRF3;OAS1;OAS2;OAS3;IRF7;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,PPAR signaling pathway,19/74,2.663444211062701e-18,1.3743372129083538e-16,0,0,23.147812596959355,936.7204854570716,CPT1A;ACSL1;ACSL6;APOA1;ACSL4;ACSL3;FABP1;FADS2;RXRA;ACADL;CPT2;ACOX1;EHHADH;UBC;ACSBG1;ACOX3;ACAA1;PCK1;ACSBG2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Propanoate metabolism,14/34,3.970205783603536e-17,1.7071884869495205e-15,0,0,46.2,1744.748943763158,BCKDHA;ACSS2;ECHS1;BCKDHB;HADHA;PCCA;ACOX1;EHHADH;DBT;PCCB;ACOX3;ACSS1;ACADS;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Epstein-Barr virus infection,26/202,1.265541875255719e-16,4.664425768799651e-15,0,0,10.078512396694215,368.93262486341695,RB1;RBPJ;CASP3;AKT1;STAT1;DDX58;STAT2;HLA-B;HLA-C;EIF2AK2;ISG15;HLA-A;HLA-F;MAPK14;HLA-G;NFKB1;HLA-E;MAPK11;IRF3;OAS1;OAS2;OAS3;IRF7;TP53;CD44;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Hepatitis C,23/157,4.263497393016663e-16,1.2252187123723616e-14,0,0,11.61343800030987,411.0143394097825,RB1;RNASEL;RSAD2;YWHAB;DDX58;STAT1;MX2;STAT2;MX1;EIF2AK2;IFIT1;NFKB1;EGFR;RXRA;IRF3;OAS1;OAS2;CASP3;OAS3;IRF7;AKT1;TP53;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
