An enrichment analysis was performed for the main three branches of the Gene Ontology (Biological Processes, Molecular Functions, and Cellular Components) of the genes belonging to the expanded downregulated network (in human), using a Benjamini-Hochberg threshold=0.05 (correcting for multiple comparisons).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,DNA replication,25/36,6.458768275567471e-36,1.4532228620026813e-33,0,0,131.96611081226465,10692.900502335766,PRIM2;FEN1;PCNA;RNASEH2A;MCM7;PRIM1;POLD1;POLE;RFC5;RFC3;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;POLA1;POLA2;POLE2;RPA3;MCM3;MCM4;MCM5;MCM6;MCM2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Cell cycle,28/124,6.423907667628941e-23,7.226896126082557e-21,0,0,17.013308457711442,869.3703737114104,RB1;PCNA;MCM7;CUL1;BUB1B;TTK;SMC3;CDC20;CCNB2;CCNB1;CDC45;ORC1;CHEK2;CHEK1;BUB1;PLK1;CDC6;CCNA2;ESPL1;CDK2;CDK1;MCM3;MCM4;MCM5;MCM6;TP53;MCM2;MAD2L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Mismatch repair,14/23,2.3105783096039583e-19,1.7329337322029684e-17,0,0,87.4855141674626,3754.145045255045,RFC5;RFC3;PCNA;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;MSH6;MSH2;EXO1;POLD1;RPA3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Nucleotide excision repair,14/47,6.516085908937115e-14,3.665298323777126e-12,0,0,23.830511417903967,723.540019912577,RFC5;RFC3;PCNA;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;DDB1;POLD1;POLE2;RPA3;POLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Insulin signaling pathway,17/137,5.049882417256922e-10,2.2724470877656143e-08,0,0,7.991064547206165,171.0606111202136,SREBF1;PPP1R3A;PHKB;ACACA;PPP1CA;PPP1CB;GYS2;PPP1CC;PPP1R3F;GYS1;PPP1R3C;PPP1R3B;PPP1R3E;FASN;PPP1R3D;PHKG2;GRB2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Oocyte meiosis,15/129,1.3152445098085564e-08,4.932166911782086e-07,0,0,7.381654567453116,133.9523620655973,PLK1;CUL1;SMC3;AURKA;PPP1CA;CDC20;PPP1CB;PPP1CC;CCNB2;CCNB1;ESPL1;CDK2;CDK1;BUB1;MAD2L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Insulin resistance,12/108,6.223806989136703e-07,2.000509389365369e-05,0,0,6.959045584045584,99.44277024122236,PPP1CB;GYS2;PPP1CC;GYS1;SREBF1;PPP1R3C;PPP1R3B;PPP1R3E;PPP1R3D;PPP1R3A;PPARA;PPP1CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,p53 signaling pathway,9/73,6.755173910646744e-06,0.00018998926623693967,0,0,7.775291313559322,92.56641246371656,CCNB2;CCNB1;RRM2;RRM2B;CHEK2;CHEK1;CDK2;CDK1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
