Here, we present the predicted diseases with relative FDR calculated by applying the network proximity pipeline (calculation of z-score and conversion to p-value) and Benjamini Hochberg correction for multiple comparisons of the disease-associated genes and the genes associated with each condition in human.;;
Condition,Disease,FDR;;
Upregulated core 1,Finding of Mean Corpuscular Hemoglobin,0.000528584401514207;;
Upregulated core 1,Propionicaciduria,0.000528584401514207;;
Upregulated core 1,Erythrocyte Mean Corpuscular Hemoglobin Test,0.000528584401514207;;
Upregulated core 1,Propionic acidemia,0.000528584401514207;;
Upregulated core 1,De Toni-Debre-Fanconi Syndrome,0.0006346723637831674;;
Upregulated core 1,Fanconi Syndrome,0.0006346723637831674;;
Upregulated core 1,Adult Fanconi syndrome,0.0007846650472473179;;
Upregulated core 1,FANCONI RENOTUBULAR SYNDROME 1,0.0007846650472473179;;
Upregulated core 1,Lipid Metabolism Disorders,0.0007846650472473179;;
"Upregulated core 1,""Trifunctional Protein Deficiency, Type 2"",0.0007846650472473179";;
Upregulated core 1,Trifunctional Protein Deficiency With Myopathy And Neuropathy,0.0007846650472473179;;
Upregulated core 1,Metabolic myopathy,0.003990240239150581;;
Upregulated core 1,3-methylcrotonyl CoA carboxylase 1 deficiency,0.003990240239150581;;
Upregulated core 1,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,0.004824731131611325;;
"Upregulated core 1,""Reflex, Biceps, Absent"",0.004824731131611325";;
"Upregulated core 1,""Brain Diseases, Metabolic, Acquired"",0.004824731131611325";;
Upregulated core 1,Palmo-Mental Reflex,0.004824731131611325;;
"Upregulated core 1,""Reflex, Moro, Asymmetric"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Triceps, Abnormal"",0.004824731131611325";;
Upregulated core 1,Absent reflex,0.004824731131611325;;
"Upregulated core 1,""Bulbocavernosus Reflex, Decreased"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Biceps, Abnormal"",0.004824731131611325";;
Upregulated core 1,Classic Maple Syrup Urine Disease,0.004824731131611325;;
Upregulated core 1,Glutaric Aciduria IIA,0.004824731131611325;;
"Upregulated core 1,""Reflex, Gag, Absent"",0.004824731131611325";;
Upregulated core 1,Central Nervous System Metabolic Disorders,0.004824731131611325;;
"Upregulated core 1,""Reflex, Pendular"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Corneal, Absent"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Ankle, Abnormal"",0.004824731131611325";;
Upregulated core 1,Lethargy,0.004824731131611325;;
"Upregulated core 1,""2,4-Dienoyl-CoA Reductase Deficiency"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Triceps, Decreased"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Corneal, Decreased"",0.004824731131611325";;
"Upregulated core 1,""Brain Diseases, Metabolic"",0.004824731131611325";;
Upregulated core 1,Glutaric Aciduria IIC,0.004824731131611325;;
"Upregulated core 1,""Reflex, Deep Tendon, Absent"",0.004824731131611325";;
Upregulated core 1,Bulbocavernousus Reflex Absent,0.004824731131611325;;
Upregulated core 1,Intermittent Maple Syrup Urine Disease,0.004824731131611325;;
"Upregulated core 1,""Encephalopathy, Subacute Necrotizing, Juvenile"",0.004824731131611325";;
Upregulated core 1,Hoffman's Reflex,0.004824731131611325;;
Upregulated core 1,Abnormal Deep Tendon Reflex,0.004824731131611325;;
Upregulated core 1,Hyperreflexia,0.004824731131611325;;
"Upregulated core 1,""Metabolic Disorder, Central Nervous System, Acquired"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Ankle, Absent"",0.004824731131611325";;
"Upregulated core 1,""Encephalopathy, Subacute Necrotizing, Infantile"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Anal, Decreased"",0.004824731131611325";;
Upregulated core 1,Glutaric Aciduria IIB,0.004824731131611325;;
"Upregulated core 1,""Reflex, Gag, Decreased"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Acoustic, Abnormal"",0.004824731131611325";;
Upregulated core 1,Maple Syrup Urine Disease,0.004824731131611325;;
"Upregulated core 1,""Acquired Metabolic Diseases, Nervous System"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Abnormal"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Anal, Absent"",0.004824731131611325";;
Upregulated core 1,Acute necrotizing encephalopathy of childhood,0.004824731131611325;;
Upregulated core 1,Erythema,0.004824731131611325;;
"Upregulated core 1,""Reflex, Knee, Abnormal"",0.004824731131611325";;
Upregulated core 1,Gastroesophageal reflux disease,0.004824731131611325;;
"Upregulated core 1,""Reflex, Triceps, Absent"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Biceps, Decreased"",0.004824731131611325";;
"Upregulated core 1,""Maple Syrup Urine Disease, Thiamine Responsive"",0.004824731131611325";;
"Upregulated core 1,""Reflex, Knee, Decreased"",0.004824731131611325";;
Upregulated core 1,Hyporeflexia,0.006278738965943314;;
"Upregulated core 1,""Lipid Metabolism, Inborn Errors"",0.006278738965943314";;
Upregulated core 1,Muscle Tone Atonic,0.006278738965943314;;
Upregulated core 1,Neonatal Hypotonia,0.006278738965943314;;
Upregulated core 1,Floppy Muscles,0.006278738965943314;;
Upregulated core 1,Unilateral Hypotonia,0.006278738965943314;;
Upregulated core 1,Flaccid Muscle Tone,0.006278738965943314;;
Upregulated core 1,Developmental Psychomotor Disorders,0.006869586116293881;;
Upregulated core 1,Psychomotor Disorders,0.006869586116293881;;
Upregulated core 1,Motor retardation,0.01398892460923113;;
Upregulated core 1,Drug abuse,0.014869841253949375;;
Upregulated core 1,Substance Dependence,0.014869841253949375;;
Upregulated core 1,Hypertriglyceridemia,0.014869841253949375;;
Upregulated core 1,Prescription Drug Abuse,0.014869841253949375;;
Upregulated core 1,Peroxisomal Disorders,0.014869841253949375;;
"Upregulated core 1,""Peroxisomal Dysfunction, Single"",0.014869841253949375";;
Upregulated core 1,Drug Dependence,0.014869841253949375;;
Upregulated core 1,Diverticular Diseases,0.014869841253949375;;
Upregulated core 1,Substance Use Disorders,0.014869841253949375;;
"Upregulated core 1,""Liposarcoma, Pleomorphic"",0.014869841253949375";;
Upregulated core 1,NADH cytochrome B5 reductase deficiency,0.014869841253949375;;
Upregulated core 1,Hyperpipecolic Acidemia,0.014869841253949375;;
Upregulated core 1,Refsum Disease,0.014869841253949375;;
Upregulated core 1,Diverticular Bleeding,0.014869841253949375;;
Upregulated core 1,Rhabdomyolysis,0.014869841253949375;;
"Upregulated core 1,""Refsum Disease, Phytanoyl-CoA Hydroxylase Deficiency"",0.014869841253949375";;
Upregulated core 1,Thrombocytopenia,0.014869841253949375;;
Upregulated core 1,Drug habituation,0.014869841253949375;;
Upregulated core 1,Gonadal dysgenesis XX type deafness,0.014869841253949375;;
"Upregulated core 1,""Organic Mental Disorders, Substance-Induced"",0.014869841253949375";;
Upregulated core 1,Substance-Related Disorders,0.014869841253949375;;
"Upregulated core 1,""Peroxisomal Dysfunction, General"",0.014869841253949375";;
Upregulated core 1,Substance abuse problem,0.014869841253949375;;
"Upregulated core 1,""Peroxisomal Dysfunction, Multiple"",0.014869841253949375";;
Upregulated core 1,Metabolic Diseases,0.014869841253949375;;
Upregulated core 1,Drug Use Disorders,0.014869841253949375;;
Upregulated core 1,Alloxan Diabetes,0.016196980542276317;;
Upregulated core 1,Pancreatitis,0.01864502607371479;;
"Upregulated core 1,""Amino Acid Metabolism, Inborn Errors"",0.019588815652463953";;
"Upregulated core 1,""Mental Retardation, X-Linked Nonsyndromic"",0.019588815652463953";;
Upregulated core 1,Liver Failure,0.02386309528052803;;
Upregulated core 1,Nodding spasm,0.02386309528052803;;
Upregulated core 1,Symptomatic Infantile Spasms,0.02386309528052803;;
Upregulated core 1,spasmus nutans,0.02386309528052803;;
Upregulated core 1,Salaam Seizures,0.02386309528052803;;
Upregulated core 1,Hyperlipidemia,0.02386309528052803;;
Upregulated core 1,Hypsarrhythmia,0.02386309528052803;;
Upregulated core 1,Jackknife Seizures,0.02386309528052803;;
Upregulated core 1,Cryptogenic Infantile Spasms,0.02386309528052803;;
Upregulated core 1,Myopathic Ophthalmopathy,0.031357296375530946;;
Upregulated core 1,Rubinstein-Taybi Syndrome,0.031357296375530946;;
Upregulated core 1,Chondroma,0.031357296375530946;;
Upregulated core 1,Urinary tract infection,0.031357296375530946;;
Upregulated core 1,Toxic Shock Syndrome,0.031357296375530946;;
"Upregulated core 1,""Fatty Liver, Alcoholic"",0.031357296375530946";;
Upregulated core 1,Poisoning by fluorouracil,0.031357296375530946;;
Upregulated core 1,Hypoxia,0.031357296375530946;;
Upregulated core 1,Anoxemia,0.031357296375530946;;
Upregulated core 1,Absence of pain sensation,0.031357296375530946;;
Upregulated core 1,Mercury Encephalopathy,0.031357296375530946;;
Upregulated core 1,Mercurial Neuroanesthenia,0.031357296375530946;;
Upregulated core 1,Carcinoma,0.031357296375530946;;
Upregulated core 1,Apolipoprotein A-I deficiency,0.031357296375530946;;
Upregulated core 1,Muscle hypotonia,0.031357296375530946;;
Upregulated core 1,Hangover from alcohol,0.031357296375530946;;
Upregulated core 1,Minamata Disease,0.031357296375530946;;
Upregulated core 1,Congestive Ophthalmopathy,0.031357296375530946;;
Upregulated core 1,Anoxia,0.031357296375530946;;
Upregulated core 1,Endotoxemia,0.031357296375530946;;
"Upregulated core 1,""Mercury Poisoning, Organic"",0.031357296375530946";;
