Sample	Group	Sex	Value	Type
123-3 TP0	PNG	F	0.007777778	HOMA-IR
123-6	PNG	F	0.063157502	HOMA-IR
123-8 TP0	PNG	F	0.010077273	HOMA-IR
123-9 TP0	PNG	F	0.025684395	HOMA-IR
272-1	PNG	F	0.32161452	HOMA-IR
272-17	PNG	F	0.237559954	HOMA-IR
272-4	PNG	F	0.006825296	HOMA-IR
272-8 TP0	PNG	F	0.007834567	HOMA-IR
274-10 TP0	PNG	F	0.02335256	HOMA-IR
274-11 TP0	PNG	F	0.016828957	HOMA-IR
274-16 TP0	PNG	F	0.119381411	HOMA-IR
274-18 TP0	PNG	F	0.010987654	HOMA-IR
274-19 TP0	PNG	F	0.007037037	HOMA-IR
817-1 TP0	PNG	F	0.116374648	HOMA-IR
817-11 TP0	PNG	F	0.009259259	HOMA-IR
817-5 TP0	PNG	F	0.064341155	HOMA-IR
817-6 TP0	PNG	F	0.017272092	HOMA-IR
817-9 TP0	PNG	F	0.00617284	HOMA-IR
820-1 TP0	PNG	F	0.254675064	HOMA-IR
820-3 TP0	PNG	F	0.079758794	HOMA-IR
123-1 TP0	PNG	M	0.011689691	HOMA-IR
123-2 TP0	PNG	M	0.011851852	HOMA-IR
123-4 TP0	PNG	M	0.013100308	HOMA-IR
123-5 TP0	PNG	M	0.098103509	HOMA-IR
123-7 TP0	PNG	M	0.074532362	HOMA-IR
272-2	PNG	M	0.011111111	HOMA-IR
272-3	PNG	M	0.004938272	HOMA-IR
272-5 TP0	PNG	M	0.071073161	HOMA-IR
272-6 TP0	PNG	M	0.009439519	HOMA-IR
272-7 TP0	PNG	M	0.02461464	HOMA-IR
274-12 TP0	PNG	M	0.016440085	HOMA-IR
274-13 TP0	PNG	M	0.013229407	HOMA-IR
274-14 TP0	PNG	M	0.006268283	HOMA-IR
274-15 TP0	PNG	M	0.006975122	HOMA-IR
817-10 TP0	PNG	M	0.00691358	HOMA-IR
817-12 TP0	PNG	M	0.218324243	HOMA-IR
817-2 TP0	PNG	M	0.041538811	HOMA-IR
817-3 TP 0	PNG	M	0.073376091	HOMA-IR
817-4 TP0	PNG	M	0.086994922	HOMA-IR
817-7 TP0	PNG	M	0.040270527	HOMA-IR
817-8 TP0	PNG	M	0.008395062	HOMA-IR
820-2 TP0	PNG	M	0.19623119	HOMA-IR
