geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006260	DNA replication	http://amigo.geneontology.org/amigo/term/GO:0006260	268	19	2.4250118171382264	7.835013366005793	3.6133318559450345e-12	2.399252352347503e-9	983;1854;2237;2956;3978;4176;5111;5424;5425;5558;5982;5983;5984;5985;6240;6241;10535;23649;51507	MSH6;FEN1;DUT;POLA2;POLD2;PRIM2;RFC3;RRM1;POLD1;RFC5;RFC4;RRM2;CDK1;RTF2;LIG1;PCNA;RFC2;MCM7;RNASEH2A
GO:0022616	DNA strand elongation	http://amigo.geneontology.org/amigo/term/GO:0022616	24	7	0.21716523735566207	32.23351990049752	1.2914508351613563e-9	3.9160217587171553e-7	2237;3978;5111;5425;5983;5984;10535	FEN1;POLD2;RFC3;RFC4;LIG1;PCNA;RNASEH2A
GO:0042769	DNA damage response, detection of DNA damage	http://amigo.geneontology.org/amigo/term/GO:0042769	39	8	0.3528935107029509	22.669728281668583	1.7692869391794375e-9	3.9160217587171553e-7	142;5111;5424;5425;5982;5983;5984;5985	POLD2;RFC3;POLD1;RFC5;PARP1;RFC4;PCNA;RFC2
GO:0032200	telomere organization	http://amigo.geneontology.org/amigo/term/GO:0032200	146	12	1.3210885272469444	9.08341852381926	8.049150901356938e-9	1.3361590496252518e-6	142;2237;5111;5424;5425;5558;5982;5983;5984;5985;23649;64282	FEN1;POLA2;POLD2;PRIM2;RFC3;POLD1;RFC5;PARP1;RFC4;PCNA;TENT4B;RFC2
GO:0006301	postreplication repair	http://amigo.geneontology.org/amigo/term/GO:0006301	51	8	0.4614761293807819	17.3356745683348	1.671865090813185e-8	2.2202368405999096e-6	4436;5111;5424;5425;5982;5983;5984;5985	MSH2;POLD2;RFC3;POLD1;RFC5;RFC4;PCNA;RFC2
GO:0006289	nucleotide-excision repair	http://amigo.geneontology.org/amigo/term/GO:0006289	110	9	0.9953406712134512	9.042130257801901	6.660481215448044e-7	7.370932545095836e-5	142;3978;5111;5424;5425;5982;5983;5984;5985	POLD2;RFC3;POLD1;RFC5;PARP1;RFC4;LIG1;PCNA;RFC2
GO:0071897	DNA biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0071897	188	11	1.701127692619353	6.466298825023817	1.0909311253248788e-6	1.0348260960224565e-4	3978;5111;5424;5425;5982;5983;5984;5985;7298;23649;64282	POLA2;POLD2;RFC3;POLD1;RFC5;RFC4;LIG1;PCNA;TENT4B;RFC2;TYMS
GO:0006298	mismatch repair	http://amigo.geneontology.org/amigo/term/GO:0006298	30	5	0.2714565466945776	18.419154228855724	6.687450745612722e-6	5.550584118858559e-4	2956;3978;4436;5111;10535	MSH2;MSH6;LIG1;PCNA;RNASEH2A
GO:0009262	deoxyribonucleotide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009262	36	5	0.3257478560334931	15.349295190713104	1.693754378284673e-5	0.0012496143413122476	1854;4521;6240;6241;7298	DUT;RRM1;RRM2;NUDT1;TYMS
GO:0033865	nucleoside bisphosphate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0033865	136	8	1.2306030116820852	6.500877963125549	3.247113701276838e-5	0.0021560834976478206	31;2181;2194;8694;54677;55902;57546;64834	ACACA;ACSS2;ACSL3;FASN;ELOVL1;DGAT1;PDP2;CROT
GO:0055088	lipid homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055088	125	7	1.13106894456074	6.188835820895522	1.3948003723729396e-4	0.008419522247778472	31;1050;3172;3990;5424;8435;8694	HNF4A;ACACA;POLD1;CEBPA;DGAT1;LIPC;SOAT2
GO:0090305	nucleic acid phosphodiester bond hydrolysis	http://amigo.geneontology.org/amigo/term/GO:0090305	288	10	2.605982848267945	3.837323797678276	2.893451158612059e-4	0.016010429744320064	142;2237;5111;5424;5425;5982;5983;5984;5985;10535	FEN1;POLD2;RFC3;POLD1;RFC5;PARP1;RFC4;PCNA;RFC2;RNASEH2A
GO:0006643	membrane lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006643	202	8	1.827807414410156	4.376828727648885	5.012649478617348e-4	0.024634222191926142	6610;25870;51495;51604;64834;79603;84720;128869	CERS4;HACD3;PIGT;PIGO;ELOVL1;SMPD2;SUMF2;PIGU
GO:0046390	ribose phosphate biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0046390	255	9	2.3073806469039098	3.900526777875329	5.193962510345873e-4	0.024634222191926142	31;142;2181;2194;4832;5207;55902;57546;64834	ACACA;NME3;ACSS2;ACSL3;FASN;PARP1;ELOVL1;PFKFB1;PDP2
GO:0051701	interaction with host	http://amigo.geneontology.org/amigo/term/GO:0051701	207	8	1.8730501721925854	4.271108226981037	5.890839557023408e-4	0.026076783105756954	983;3838;4233;5818;6510;6993;7298;83737	ITCH;NECTIN1;DYNLT1;MET;CDK1;KPNA2;SLC1A5;TYMS
GO:0072522	purine-containing compound biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0072522	267	9	2.4159632655817407	3.725222203588798	7.221115496246489e-4	0.029967629309422927	31;142;2181;2194;4832;5207;55902;57546;64834	ACACA;NME3;ACSS2;ACSL3;FASN;PARP1;ELOVL1;PFKFB1;PDP2
