userId	geneSymbol	geneName	entrezgene	gLink
SLC27A4	SLC27A4	solute carrier family 27 member 4	10999	https://www.ncbi.nlm.nih.gov/gene/?term=10999
CLDN15	CLDN15	claudin 15	24146	https://www.ncbi.nlm.nih.gov/gene/?term=24146
MSH2	MSH2	mutS homolog 2	4436	https://www.ncbi.nlm.nih.gov/gene/?term=4436
RAB18	RAB18	RAB18, member RAS oncogene family	22931	https://www.ncbi.nlm.nih.gov/gene/?term=22931
FAM50A	FAM50A	family with sequence similarity 50 member A	9130	https://www.ncbi.nlm.nih.gov/gene/?term=9130
MSH6	MSH6	mutS homolog 6	2956	https://www.ncbi.nlm.nih.gov/gene/?term=2956
NT5DC2	NT5DC2	5'-nucleotidase domain containing 2	64943	https://www.ncbi.nlm.nih.gov/gene/?term=64943
DERPC	DERPC	DERPC, proline and glycine rich nuclear protein	113455421	https://www.ncbi.nlm.nih.gov/gene/?term=113455421
DNMT1	DNMT1	DNA methyltransferase 1	1786	https://www.ncbi.nlm.nih.gov/gene/?term=1786
FEN1	FEN1	flap structure-specific endonuclease 1	2237	https://www.ncbi.nlm.nih.gov/gene/?term=2237
PAQR7	PAQR7	progestin and adipoQ receptor family member 7	164091	https://www.ncbi.nlm.nih.gov/gene/?term=164091
PBK	PBK	PDZ binding kinase	55872	https://www.ncbi.nlm.nih.gov/gene/?term=55872
TMX2	TMX2	thioredoxin related transmembrane protein 2	51075	https://www.ncbi.nlm.nih.gov/gene/?term=51075
HAT1	HAT1	histone acetyltransferase 1	8520	https://www.ncbi.nlm.nih.gov/gene/?term=8520
RETREG3	RETREG3	reticulophagy regulator family member 3	162427	https://www.ncbi.nlm.nih.gov/gene/?term=162427
DUT	DUT	deoxyuridine triphosphatase	1854	https://www.ncbi.nlm.nih.gov/gene/?term=1854
TUBGCP3	TUBGCP3	tubulin gamma complex associated protein 3	10426	https://www.ncbi.nlm.nih.gov/gene/?term=10426
HNF4A	HNF4A	hepatocyte nuclear factor 4 alpha	3172	https://www.ncbi.nlm.nih.gov/gene/?term=3172
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	https://www.ncbi.nlm.nih.gov/gene/?term=31
IPO9	IPO9	importin 9	55705	https://www.ncbi.nlm.nih.gov/gene/?term=55705
JMJD6	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	23210	https://www.ncbi.nlm.nih.gov/gene/?term=23210
ITCH	ITCH	itchy E3 ubiquitin protein ligase	83737	https://www.ncbi.nlm.nih.gov/gene/?term=83737
QRICH1	QRICH1	glutamine rich 1	54870	https://www.ncbi.nlm.nih.gov/gene/?term=54870
TWSG1	TWSG1	twisted gastrulation BMP signaling modulator 1	57045	https://www.ncbi.nlm.nih.gov/gene/?term=57045
AP3S2	AP3S2	adaptor related protein complex 3 subunit sigma 2	10239	https://www.ncbi.nlm.nih.gov/gene/?term=10239
KIF4A	KIF4A	kinesin family member 4A	24137	https://www.ncbi.nlm.nih.gov/gene/?term=24137
NME3	NME3	NME/NM23 nucleoside diphosphate kinase 3	4832	https://www.ncbi.nlm.nih.gov/gene/?term=4832
PLP1	PLP1	proteolipid protein 1	5354	https://www.ncbi.nlm.nih.gov/gene/?term=5354
TEX30	TEX30	testis expressed 30	93081	https://www.ncbi.nlm.nih.gov/gene/?term=93081
AAAS	AAAS	aladin WD repeat nucleoporin	8086	https://www.ncbi.nlm.nih.gov/gene/?term=8086
SAAL1	SAAL1	serum amyloid A like 1	113174	https://www.ncbi.nlm.nih.gov/gene/?term=113174
NDC1	NDC1	NDC1 transmembrane nucleoporin	55706	https://www.ncbi.nlm.nih.gov/gene/?term=55706
NCAPG	NCAPG	non-SMC condensin I complex subunit G	64151	https://www.ncbi.nlm.nih.gov/gene/?term=64151
CERS4	CERS4	ceramide synthase 4	79603	https://www.ncbi.nlm.nih.gov/gene/?term=79603
POLA2	POLA2	DNA polymerase alpha 2, accessory subunit	23649	https://www.ncbi.nlm.nih.gov/gene/?term=23649
POLD2	POLD2	DNA polymerase delta 2, accessory subunit	5425	https://www.ncbi.nlm.nih.gov/gene/?term=5425
CCDC25	CCDC25	coiled-coil domain containing 25	55246	https://www.ncbi.nlm.nih.gov/gene/?term=55246
METTL16	METTL16	methyltransferase like 16	79066	https://www.ncbi.nlm.nih.gov/gene/?term=79066
PRIM2	PRIM2	DNA primase subunit 2	5558	https://www.ncbi.nlm.nih.gov/gene/?term=5558
ATRN	ATRN	attractin	8455	https://www.ncbi.nlm.nih.gov/gene/?term=8455
CD14	CD14	CD14 molecule	929	https://www.ncbi.nlm.nih.gov/gene/?term=929
SLC7A6OS	SLC7A6OS	solute carrier family 7 member 6 opposite strand	84138	https://www.ncbi.nlm.nih.gov/gene/?term=84138
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	https://www.ncbi.nlm.nih.gov/gene/?term=55902
NECTIN1	NECTIN1	nectin cell adhesion molecule 1	5818	https://www.ncbi.nlm.nih.gov/gene/?term=5818
HACD3	HACD3	3-hydroxyacyl-CoA dehydratase 3	51495	https://www.ncbi.nlm.nih.gov/gene/?term=51495
RFC3	RFC3	replication factor C subunit 3	5983	https://www.ncbi.nlm.nih.gov/gene/?term=5983
RRM1	RRM1	ribonucleotide reductase catalytic subunit M1	6240	https://www.ncbi.nlm.nih.gov/gene/?term=6240
TXLNA	TXLNA	taxilin alpha	200081	https://www.ncbi.nlm.nih.gov/gene/?term=200081
MAT2A	MAT2A	methionine adenosyltransferase 2A	4144	https://www.ncbi.nlm.nih.gov/gene/?term=4144
RMND1	RMND1	required for meiotic nuclear division 1 homolog	55005	https://www.ncbi.nlm.nih.gov/gene/?term=55005
RAB3D	RAB3D	RAB3D, member RAS oncogene family	9545	https://www.ncbi.nlm.nih.gov/gene/?term=9545
POLD1	POLD1	DNA polymerase delta 1, catalytic subunit	5424	https://www.ncbi.nlm.nih.gov/gene/?term=5424
ACSL3	ACSL3	acyl-CoA synthetase long chain family member 3	2181	https://www.ncbi.nlm.nih.gov/gene/?term=2181
