geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0016051	carbohydrate biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0016051	205	8	1.079748801404551	7.409130706691684	1.2024715701386413e-5	0.007984411225720578	2820;2821;2992;5091;5105;5164;5167;5950	GPI;GYG1;GPD2;RBP4;ENPP1;PCK1;PC;PDK2
GO:0042180	cellular ketone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042180	184	7	0.9691403876021337	7.222895763656634	5.121707076050086e-5	0.010454969529744673	33;37;2820;2821;5164;10229;51004	GPI;ACADL;ACADVL;GPD2;COQ6;COQ7;PDK2
GO:0006575	cellular modified amino acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006575	191	7	1.0060098588696063	6.958182306349846	6.486744017963897e-5	0.010454969529744673	33;1428;5321;25902;55349;55748;160428	CHDH;ALDH1L2;CRYM;MTHFD1L;ACADL;CNDP2;PLA2G4A
GO:0006766	vitamin metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006766	131	6	0.6899858194341278	8.695830886670581	6.513413894504438e-5	0.010454969529744673	5091;5095;5096;5167;25902;160428	ALDH1L2;MTHFD1L;PCCA;PCCB;ENPP1;PC
GO:0033865	nucleoside bisphosphate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0033865	136	6	0.716321156053751	8.376131221719458	8.021613758257828e-5	0.010454969529744673	5164;5167;6783;23305;23597;84693	SULT1E1;MCEE;ENPP1;PDK2;ACOT9;ACSL6
GO:0005996	monosaccharide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0005996	280	8	1.4747788506988992	5.424542124542125	1.1021805227140469e-4	0.010454969529744673	2820;2821;5091;5105;5164;5167;5950;282969	FUOM;GPI;GPD2;RBP4;ENPP1;PCK1;PC;PDK2
GO:0051188	cofactor biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0051188	280	8	1.4747788506988992	5.424542124542125	1.1021805227140469e-4	0.010454969529744673	2821;4837;5164;10229;23305;25902;51004;55748	GPI;MTHFD1L;CNDP2;NNMT;COQ6;COQ7;PDK2;ACSL6
GO:0031214	biomineral tissue development	http://amigo.geneontology.org/amigo/term/GO:0031214	150	6	0.790060098588696	7.5943589743589754	1.3768390137924857e-4	0.011427763814477632	197;302;5167;9636;10457;54829	ANXA2;ENPP1;AHSG;ASPN;ISG15;GPNMB
GO:0097066	response to thyroid hormone	http://amigo.geneontology.org/amigo/term/GO:0097066	27	3	0.14221081774596528	21.095441595441596	3.7536519447312067e-4	0.027693609903350232	302;308;1520	ANXA2;ANXA5;CTSS
GO:0019058	viral life cycle	http://amigo.geneontology.org/amigo/term/GO:0019058	285	7	1.5011141873185223	4.663202878992354	7.475673890406931e-4	0.049638474632302025	302;3673;5091;5371;6041;9636;24138	ANXA2;PC;ITGA2;ISG15;RNASEL;IFIT5;PML
